,state,sales_per_capita
0,NJ,46.858316828141206
1,RI,39.40447278353548
2,DE,39.26294812187516
3,NY,38.092132311164654
4,NH,37.94131994903421
5,MD,33.35031922036666
6,CT,32.144591580722846
7,PA,31.772802639557057
8,DC,29.975914546779396
9,MA,29.929245453101665
10,FL,29.41846027158958
11,WV,28.544542934796567
12,LA,28.449333736813006
13,MI,28.31516218903519
14,NE,27.964538745324255
15,VA,27.134025262410436
16,GA,26.871796097926968
17,KY,26.736630029436704
18,ID,25.9761367570494
19,AZ,25.087979844762053
20,MO,24.720776638081574
21,SC,24.656081688190387
22,IA,23.847056344007953
23,IL,22.875390962689348
24,IN,22.753366811324902
25,TN,22.751320553106865
26,WI,22.730030025305783
27,ND,22.602419155873164
28,NC,22.28677194275334
29,OH,22.170716797104554
30,CA,21.578320926770974
31,WY,21.22601448026726
32,SD,21.024324397070323
33,NM,20.133645496650473
34,VT,19.964360212422775
35,KS,19.916351051661813
36,CO,19.85560539864932
37,ME,19.74807931865857
38,PR,19.15480980097041
39,MN,18.98774701039026
40,OR,17.62744629296384
41,TX,17.25873595881848
42,AR,16.586436948035267
43,OK,16.54216538625182
44,MT,16.502525734559157
45,WA,15.6486689281247
