,state,abbreviation,pop,year
0,California,CA,37540913.75,2011
1,Texas,TX,25590572.5,2011
2,Florida,FL,19116460.75,2011
3,New York,NY,19398602.25,2011
4,Pennsylvania,PA,12715908.625,2011
5,Illinois,IL,12820240.375,2011
6,Ohio,OH,11555814.625,2011
7,Georgia,GA,9792530.25,2011
8,North Carolina,NC,9641683.0,2011
9,Michigan,MI,9898477.25,2011
10,New Jersey,NJ,8822053.125,2011
11,Virginia,VA,8065625.0,2011
12,Washington,WA,6825924.0,2011
13,Arizona,AZ,6489724.375,2011
14,Massachusetts,MA,6592108.5,2011
15,Tennessee,TN,6399241.875,2011
16,Indiana,IN,6510185.125,2011
17,Missouri,MO,6006117.625,2011
18,Maryland,MD,5807401.625,2011
19,Wisconsin,WI,5703073.875,2011
20,Colorado,CO,5112604.0,2011
21,Minnesota,MN,5342331.75,2011
22,South Carolina,SC,4682741.75,2011
23,Alabama,AL,4793595.0,2011
24,Louisiana,LA,4549291.375,2011
25,Kentucky,KY,4355480.625,2011
26,Oregon,OR,3876028.0,2011
27,Oklahoma,OK,3775548.875,2011
28,Connecticut,CT,3573936.375,2011
29,Puerto Rico,PR,3659781.5,2011
30,Utah,UT,2813540.125,2011
31,Iowa,IA,3060528.5,2011
32,Nevada,NV,2742403.625,2011
33,Arkansas,AR,2928191.375,2011
34,Mississippi,MS,2970406.375,2011
35,Kansas,KS,2860428.625,2011
36,New Mexico,NM,2063721.5,2011
37,Nebraska,NE,1839206.875,2011
38,West Virginia,WV,1847113.625,2011
39,Idaho,ID,1590971.5,2011
40,Hawaii,HI,1367824.75,2011
41,New Hampshire,NH,1321465.0,2011
42,Maine,ME,1329616.375,2011
43,Montana,MT,998528.0,2011
44,Rhode Island,RI,1053479.0,2011
45,Delaware,DE,906590.375,2011
46,South Dakota,SD,822696.5,2011
47,North Dakota,ND,683526.75,2011
48,Alaska,AK,713647.625,2011
49,District of Columbia,DC,614353.0,2011
50,Vermont,VT,625814.25,2011
51,Wyoming,WY,565513.25,2011
0,California,CA,37828932.5,2012
1,Texas,TX,26035040.0,2012
2,Florida,FL,19428298.5,2012
3,New York,NY,19419117.5,2012
4,Pennsylvania,PA,12728930.25,2012
5,Illinois,IL,12808931.75,2012
6,Ohio,OH,11574904.25,2012
7,Georgia,GA,9896379.5,2012
8,North Carolina,NC,9747674.0,2012
9,Michigan,MI,9912825.5,2012
10,New Jersey,NJ,8852170.25,2012
11,Virginia,VA,8130205.0,2012
12,Washington,WA,6927305.0,2012
13,Arizona,AZ,6587141.75,2012
14,Massachusetts,MA,6636400.0,2012
15,Tennessee,TN,6452208.75,2012
16,Indiana,IN,6536141.25,2012
17,Missouri,MO,6023308.25,2012
18,Maryland,MD,5841018.25,2012
19,Wisconsin,WI,5718858.75,2012
20,Colorado,CO,5195884.0,2012
21,Minnesota,MN,5380738.5,2012
22,South Carolina,SC,4740082.5,2012
23,Alabama,AL,4807063.0,2012
24,Louisiana,LA,4565103.75,2012
25,Kentucky,KY,4371612.25,2012
26,Oregon,OR,3920983.0,2012
27,Oklahoma,OK,3799481.75,2012
28,Connecticut,CT,3573754.75,2012
29,Puerto Rico,PR,3593406.0,2012
30,Utah,UT,2863192.25,2012
31,Iowa,IA,3074188.0,2012
32,Nevada,NV,2784116.25,2012
33,Arkansas,AR,2940424.75,2012
34,Mississippi,MS,2972709.75,2012
35,Kansas,KS,2867725.25,2012
36,New Mexico,NM,2068251.0,2012
37,Nebraska,NE,1852072.75,2012
38,West Virginia,WV,1841216.25,2012
39,Idaho,ID,1614291.0,2012
40,Hawaii,HI,1375348.5,2012
41,New Hampshire,NH,1326464.0,2012
42,Maine,ME,1330871.75,2012
43,Montana,MT,1007639.0,2012
44,Rhode Island,RI,1054027.0,2012
45,Delaware,DE,915244.75,2012
46,South Dakota,SD,831202.0,2012
47,North Dakota,ND,694462.5,2012
48,Alaska,AK,717046.25,2012
49,District of Columbia,DC,626939.0,2012
50,Vermont,VT,625883.5,2012
51,Wyoming,WY,567259.5,2012
0,California,CA,38116951.25,2013
1,Texas,TX,26479507.5,2013
2,Florida,FL,19740136.25,2013
3,New York,NY,19439632.75,2013
4,Pennsylvania,PA,12741951.875,2013
5,Illinois,IL,12797623.125,2013
6,Ohio,OH,11593993.875,2013
7,Georgia,GA,10000228.75,2013
8,North Carolina,NC,9853665.0,2013
9,Michigan,MI,9927173.75,2013
10,New Jersey,NJ,8882287.375,2013
11,Virginia,VA,8194785.0,2013
12,Washington,WA,7028686.0,2013
13,Arizona,AZ,6684559.125,2013
14,Massachusetts,MA,6680691.5,2013
15,Tennessee,TN,6505175.625,2013
16,Indiana,IN,6562097.375,2013
17,Missouri,MO,6040498.875,2013
18,Maryland,MD,5874634.875,2013
19,Wisconsin,WI,5734643.625,2013
20,Colorado,CO,5279164.0,2013
21,Minnesota,MN,5419145.25,2013
22,South Carolina,SC,4797423.25,2013
23,Alabama,AL,4820531.0,2013
24,Louisiana,LA,4580916.125,2013
25,Kentucky,KY,4387743.875,2013
26,Oregon,OR,3965938.0,2013
27,Oklahoma,OK,3823414.625,2013
28,Connecticut,CT,3573573.125,2013
29,Puerto Rico,PR,3527030.5,2013
30,Utah,UT,2912844.375,2013
31,Iowa,IA,3087847.5,2013
32,Nevada,NV,2825828.875,2013
33,Arkansas,AR,2952658.125,2013
34,Mississippi,MS,2975013.125,2013
35,Kansas,KS,2875021.875,2013
36,New Mexico,NM,2072780.5,2013
37,Nebraska,NE,1864938.625,2013
38,West Virginia,WV,1835318.875,2013
39,Idaho,ID,1637610.5,2013
40,Hawaii,HI,1382872.25,2013
41,New Hampshire,NH,1331463.0,2013
42,Maine,ME,1332127.125,2013
43,Montana,MT,1016750.0,2013
44,Rhode Island,RI,1054575.0,2013
45,Delaware,DE,923899.125,2013
46,South Dakota,SD,839707.5,2013
47,North Dakota,ND,705398.25,2013
48,Alaska,AK,720444.875,2013
49,District of Columbia,DC,639525.0,2013
50,Vermont,VT,625952.75,2013
51,Wyoming,WY,569005.75,2013
0,California,CA,38404970.0,2014
1,Texas,TX,26923975.0,2014
2,Florida,FL,20051974.0,2014
3,New York,NY,19460148.0,2014
4,Pennsylvania,PA,12754973.5,2014
5,Illinois,IL,12786314.5,2014
6,Ohio,OH,11613083.5,2014
7,Georgia,GA,10104078.0,2014
