state,sales,video_other_rev,online_sales,total_prizes,video_other_prize,scratch_draw_prize,online_prize,contributions,contribution_percent_ex_video,prize_percent,only_scratch_and_draw,year,year_type,checked after video fix,,link
AK,0,,,,,,,,,#DIV/0!,,,,,,
AR,499.707976,0,,341.89542,0,341.89542,,91.844929,18.38%,68.4%,,2018,Fiscal,x,,https://www.myarkansaslottery.com/about/reports
AZ,981,0,,647.46,0,647.46,,211.896,21.60%,66.0%,x,2018,Fiscal,x,,https://www.arizonalottery.com/en/about-us/meet-the-commission
CA,6233.468,0,,3963.453,0,3963.453,,1494.213,23.97%,63.6%,x,2017,Fiscal,x,,https://www.calottery.com/about-us/lottery-performance
CO,594,0,,365.4695874,0,365.4695874,,143.5,24.16%,61.5%,x,2016,Fiscal,x,,https://www.coloradolottery.com/en/about/
CT,1230.769,0,,760.269,0,760.269,,342.5,27.83%,61.8%,x,2016,Fiscal,x,,https://www.ctlottery.org/uploads/16-CLC-0210-2016_AnnualReportFINAL.pdf
DC,218.7,0,,130,0,130,,45.6,20.85%,59.4%,,2017,Fiscal,x,,https://dclottery.com/aboutus/default.aspx
DE,627.983581,405,,135,0,135,,241.714017,,60.5%,,2017,Fiscal,x,,https://www.delottery.com/Financials
FL,6700.811,0,,4394.4,0,4394.4,,1758.329,26.24%,65.6%,,2018,Fiscal,x,,http://www.flalottery.com/reports
GA,4366.412214,0,,2768,0,2768,,1144,26.20%,63.4%,,2018,Fiscal,x,,https://www.galottery.com/en-us/benefitting-georgia/where-the-money-goes.html
IA,370.956887,0,,227.5,0,227.5,,87.0962,23.48%,61.3%,,2018,Fiscal,x,,https://www.ialottery.com/Pages/AboutUs/AnnualReport.aspx
ID,265.026323,0,,174.87,0,174.87,,49.086942,18.52%,66.0%,,2018,Fiscal,x,,https://www.idaholottery.com/pages/annual-reports
IL,2843.956412,0,,,,,,723.241,25.43%,0.0%,,2017,Fiscal,x,,http://www.illinoislottery.com/en-us/quarterly-pma-reports.html
IN,1213.076372,0,,774.40954,0,774.40954,,288.038493,23.74%,63.8%,x,2017,Fiscal,x,,https://www.hoosierlottery.com/about-us/annual-report
KS,268.948805,0,,157.890979,0,157.890979,,74.726,27.78%,58.7%,,2018,Fiscal,x,,http://www.kslottery.com/aboutus/Lotterysales.aspx
KY,1042.714315,0,,657.4,0,657.4,,262.8,25.20%,63.0%,,2018,Fiscal,x,,https://www.kylottery.com/apps/about_us/annual_report_home.html
LA,490.957831,0,273.824,263.606902,0,263.606902,,171.95598,35.02%,53.7%,,2018,Fiscal,x,,https://louisianalottery.com/about/tab/financials
MA,5291.951,0,0,3891.554,0,3891.554,,997.056603,18.84%,73.5%,,2018,Fiscal,x,,https://www.masslottery.com/about/commission.html
MD,1928,0,0,1210.041,0,1210.041,,527.945,27.38%,62.8%,,2017,May,x,,https://www.mdgaming.com/commission/meeting-minutes-documents/
ME,271,0,0,157.18,0,157.18,,61.70822511,22.77%,58.0%,,2017,April,x,,https://legislature.maine.gov/doc/1673
MI,3347.1,0,0,2016.4,0,2016.4,,926,27.67%,60.2%,,2017,September,x,,https://www.michiganlottery.com/about/financial-reports
MN,557.725,0,0,346.347225,0,346.347225,,145.1,26.02%,62.1%,,2018,Fiscal,x,,https://www.mnlottery.com/about-the-lottery
MO,1400.216,0,0,939.479,0,939.479,,333.392,23.81%,67.1%,,2018,Fiscal,x,,http://www.molottery.com/where_the_money_goes/financial_reports.shtm
MT,52.46,0,35.344,30.593,0,10.497,20.096,9.271,17.67%,58.3%,,2017,Fiscal,x,,https://www.montanalottery.com/en/view/giving-back
NC,2428.071,0,0,1543.158,0,1543.158,0,622.505,25.64%,63.6%,,2017,Fiscal,x,,https://www.nclottery.com/Content/Docs/PAFR%20fy2017.pdf
ND,27.62,0,0,14.323,0,14.323,0,6.924,25.07%,51.9%,,2017,Fiscal,x,,https://www.lottery.nd.gov/about/financial-statements.html
